pathogen,antibiotic,resistance_level,collection_date,location
E. coli,Azithromycin,Medium,2024-02-07,Kimberg
Campylobacter,Ciprofloxacin,Medium,2024-05-02,West Greg
Campylobacter,Amoxicillin,High,2020-06-25,Perrymouth
Salmonella,Trimethoprim,Low,2023-07-24,Osbornechester
E. coli,Nitrofurantoin,Medium,2021-03-19,Cartershire
Campylobacter,Chloramphenicol,Low,2020-08-05,West Coreymouth
E. coli,Nitrofurantoin,Medium,2022-10-17,Choiburgh
Salmonella,Doxycycline,High,2022-04-02,Johnview
Salmonella,Gentamicin,Medium,2022-04-20,East Tonymouth
Campylobacter,Trimethoprim,High,2021-07-01,Marcusshire
Salmonella,Nitrofurantoin,Low,2023-04-08,North Jacobtown
Salmonella,Norfloxacin,Low,2022-02-05,Lake Jacobfort
Salmonella,Chloramphenicol,High,2022-05-30,Danaville
Campylobacter,Amoxicillin,Low,2021-01-29,New Ronald
E. coli,Azithromycin,High,2023-11-02,Jacksonchester
Campylobacter,Nitrofurantoin,Low,2020-12-05,Brayfort
Salmonella,Norfloxacin,Medium,2020-10-05,Lake Kellyside
E. coli,Doxycycline,Medium,2023-05-17,Coxstad
Campylobacter,Levofloxacin,Low,2024-06-13,Robinsonside
Campylobacter,Chloramphenicol,High,2021-09-06,Gouldborough
Campylobacter,Doxycycline,Low,2023-01-31,Lauraborough
Campylobacter,Doxycycline,High,2020-03-15,Gregorystad
Salmonella,Ciprofloxacin,High,2020-10-22,Woodborough
Campylobacter,Erythromycin,Medium,2022-11-17,West Jenniferland
E. coli,Amoxicillin,Medium,2020-11-01,Scottbury
Salmonella,Doxycycline,Low,2024-01-08,Port Williamview
E. coli,Ciprofloxacin,Medium,2023-08-07,Smithtown
Campylobacter,Azithromycin,High,2024-05-05,Edwardsshire
E. coli,Ceftriaxone,Low,2021-01-29,Port Jennyhaven
Campylobacter,Ceftriaxone,High,2024-10-03,Dennisside
E. coli,Trimethoprim,Medium,2021-07-22,North Shannon
Salmonella,Levofloxacin,High,2024-07-23,North Crystal
Campylobacter,Ceftriaxone,Low,2023-09-09,West Rebecca
Salmonella,Norfloxacin,Medium,2022-03-17,Andrewfurt
Salmonella,Chloramphenicol,Medium,2021-04-08,Mirandafurt
Salmonella,Erythromycin,Low,2023-04-14,North Antonioburgh
Campylobacter,Gentamicin,Medium,2020-05-31,Morganchester
Salmonella,Doxycycline,High,2021-01-26,Ochoafort
Campylobacter,Ceftriaxone,Medium,2020-04-14,Vasquezport
E. coli,Trimethoprim,Low,2021-11-22,Nicholasside
Campylobacter,Erythromycin,High,2021-12-27,Thomasside
Salmonella,Levofloxacin,High,2023-01-16,South Brianafort
Salmonella,Ciprofloxacin,Low,2021-01-26,West Robertview
Campylobacter,Chloramphenicol,Medium,2023-11-14,Rebeccaport
E. coli,Chloramphenicol,High,2020-05-01,South Mariabury
Salmonella,Doxycycline,High,2021-06-11,Port Timothy
Campylobacter,Azithromycin,Low,2021-03-12,West Marco
Campylobacter,Trimethoprim,Medium,2024-04-02,Bethtown
Salmonella,Nitrofurantoin,High,2020-11-26,New Mark
Salmonella,Chloramphenicol,Medium,2020-10-16,South Kevin
E. coli,Levofloxacin,Medium,2021-07-25,Port Ashleyland
Salmonella,Trimethoprim,Medium,2022-06-09,Christinaland
Salmonella,Nitrofurantoin,Low,2020-06-24,Lake Michael
Salmonella,Ciprofloxacin,Medium,2023-08-09,Fostertown
E. coli,Azithromycin,Low,2022-02-24,North Sheryl
Salmonella,Azithromycin,Medium,2020-09-17,South Kevinbury
E. coli,Chloramphenicol,High,2021-07-06,Duncanton
E. coli,Ciprofloxacin,Low,2020-09-03,Lake Candace
Campylobacter,Doxycycline,High,2023-05-12,Conwaytown
E. coli,Ceftriaxone,Medium,2024-08-27,South Lauraberg
E. coli,Levofloxacin,High,2024-10-07,Markshire
Salmonella,Amoxicillin,Medium,2020-09-09,East Christopher
Campylobacter,Erythromycin,Low,2021-06-28,Micheleshire
Salmonella,Erythromycin,High,2020-09-17,Millerstad
E. coli,Ceftriaxone,Medium,2020-02-06,Meganborough
E. coli,Levofloxacin,Medium,2024-09-20,Holttown
Campylobacter,Doxycycline,Medium,2024-07-23,Angelabury
E. coli,Chloramphenicol,Medium,2021-12-07,West Nicolas
Salmonella,Erythromycin,Medium,2022-08-22,Michaelchester
Campylobacter,Gentamicin,Low,2022-05-09,Lake Stanley
Salmonella,Ciprofloxacin,Medium,2023-10-25,Port Glenda
E. coli,Amoxicillin,Medium,2020-06-01,Port Christopher
E. coli,Levofloxacin,Medium,2021-09-28,Ashleyview
Campylobacter,Levofloxacin,High,2021-12-02,Robinsonmouth
E. coli,Nitrofurantoin,Low,2023-02-01,Hernandezberg
Campylobacter,Levofloxacin,Medium,2023-07-18,West Kristinshire
Campylobacter,Ceftriaxone,High,2021-12-12,New Charles
E. coli,Trimethoprim,High,2024-03-26,Phillipberg
E. coli,Azithromycin,Low,2021-10-23,Ericachester
Campylobacter,Chloramphenicol,Low,2020-12-25,North Catherine
E. coli,Erythromycin,Medium,2023-02-28,Garychester
E. coli,Norfloxacin,Low,2022-07-17,Josephberg
Salmonella,Azithromycin,High,2022-03-28,Kevinchester
Salmonella,Doxycycline,Medium,2021-07-06,Carrmouth
Salmonella,Ciprofloxacin,High,2024-05-14,East Caroline
E. coli,Azithromycin,Medium,2022-09-26,South Tara
Campylobacter,Nitrofurantoin,Medium,2021-04-17,Wellston
Campylobacter,Chloramphenicol,High,2020-04-24,Middletonborough
E. coli,Ceftriaxone,High,2022-08-22,Coreyhaven
Salmonella,Ceftriaxone,Low,2021-03-09,Amyfurt
Salmonella,Trimethoprim,Low,2022-01-13,East Adammouth
Salmonella,Gentamicin,Medium,2023-01-07,New Stevenmouth
Campylobacter,Doxycycline,Low,2020-07-19,Woodsberg
Campylobacter,Ceftriaxone,Low,2022-10-11,Hunterfort
Campylobacter,Norfloxacin,High,2023-01-14,Lake Brent
Campylobacter,Ceftriaxone,Low,2022-08-09,Robbinston
Campylobacter,Trimethoprim,High,2021-07-11,Thomasberg
E. coli,Ceftriaxone,Medium,2024-10-05,Port Michaelview
E. coli,Levofloxacin,Medium,2024-07-12,Jensenfurt
Salmonella,Doxycycline,High,2021-02-09,Kiddport
E. coli,Nitrofurantoin,High,2020-02-19,Corystad
Campylobacter,Norfloxacin,Medium,2023-12-13,West Jaime
Salmonella,Ciprofloxacin,Low,2021-12-23,Malonemouth
Salmonella,Levofloxacin,Low,2024-06-08,Lake Williamview
E. coli,Norfloxacin,High,2024-05-11,Port Seanmouth
Campylobacter,Levofloxacin,Medium,2022-08-18,Murphymouth
Campylobacter,Chloramphenicol,High,2020-07-20,New Tony
E. coli,Amoxicillin,Low,2022-12-03,Robertomouth
E. coli,Doxycycline,Medium,2023-10-15,Hendersonberg
Campylobacter,Norfloxacin,Medium,2020-03-29,Angelabury
Salmonella,Nitrofurantoin,High,2023-06-24,Morganton
Campylobacter,Doxycycline,Medium,2024-09-20,Port John
Campylobacter,Chloramphenicol,Low,2024-03-15,Summersmouth
E. coli,Nitrofurantoin,Medium,2020-03-26,South Christina
Salmonella,Trimethoprim,Low,2020-07-22,Melissahaven
Campylobacter,Amoxicillin,Medium,2023-03-18,South Keithview
Salmonella,Azithromycin,High,2023-11-25,Lake Derekfort
Salmonella,Azithromycin,Low,2022-03-12,West Hollyfurt
E. coli,Amoxicillin,Low,2021-09-21,Jenkinsburgh
E. coli,Doxycycline,Low,2021-03-02,New Philip
E. coli,Amoxicillin,High,2023-02-06,Lake Kristina
E. coli,Amoxicillin,High,2021-01-18,Davistown
Campylobacter,Gentamicin,Low,2020-04-22,East Andrew
Campylobacter,Azithromycin,Low,2022-12-22,Johnhaven
Campylobacter,Nitrofurantoin,High,2024-04-03,West Davidmouth
Salmonella,Gentamicin,Low,2024-02-14,Sullivanmouth
Campylobacter,Gentamicin,High,2022-10-02,Latoyamouth
Salmonella,Doxycycline,Low,2023-10-02,New Mark
E. coli,Nitrofurantoin,High,2023-09-18,North Maxwellmouth
Salmonella,Amoxicillin,Low,2024-07-27,Riddleport
Campylobacter,Erythromycin,Low,2024-04-13,Owenhaven
Salmonella,Norfloxacin,Medium,2020-06-03,New Nicoleland
Salmonella,Chloramphenicol,Medium,2022-12-24,West Elizabeth
Salmonella,Erythromycin,High,2023-08-21,Clarktown
E. coli,Trimethoprim,Low,2022-04-18,Collinsville
Salmonella,Azithromycin,High,2020-02-06,Lewisberg
E. coli,Norfloxacin,Low,2023-04-09,Mollyfurt
Salmonella,Levofloxacin,Low,2020-03-13,Perrymouth
E. coli,Amoxicillin,Medium,2024-08-20,New Sheilamouth
E. coli,Nitrofurantoin,Low,2021-12-18,Lake John
Campylobacter,Azithromycin,Low,2024-01-26,Dustinburgh
Salmonella,Norfloxacin,High,2022-12-14,Christopherland
Salmonella,Ciprofloxacin,High,2024-08-23,Timothyhaven
E. coli,Nitrofurantoin,High,2020-04-23,New Tonya
Salmonella,Doxycycline,Medium,2020-05-23,New Nicoleview
E. coli,Nitrofurantoin,Medium,2020-05-05,South Wanda
E. coli,Doxycycline,High,2021-12-08,Kristyborough
Campylobacter,Erythromycin,Medium,2024-06-05,Davidmouth
Salmonella,Gentamicin,Medium,2020-09-11,Heatherfurt
E. coli,Ceftriaxone,Low,2023-09-29,South Lance
Salmonella,Ciprofloxacin,Low,2023-03-05,Port Ellen
Salmonella,Chloramphenicol,Low,2022-03-06,Herringberg
E. coli,Trimethoprim,High,2022-05-31,Rayton
Salmonella,Chloramphenicol,Medium,2022-12-22,West Selena
Salmonella,Chloramphenicol,High,2023-11-12,West Cindyberg
Salmonella,Gentamicin,High,2021-07-23,East Brianshire
Salmonella,Chloramphenicol,Medium,2020-07-03,South Jasmin
Salmonella,Doxycycline,Medium,2020-08-26,Clarkchester
E. coli,Ciprofloxacin,High,2024-07-13,Johnsonmouth
Salmonella,Amoxicillin,Low,2023-11-21,Davidburgh
Salmonella,Doxycycline,Low,2023-09-02,Juliechester
Campylobacter,Ciprofloxacin,Low,2022-05-01,Ryanton
Salmonella,Ciprofloxacin,High,2023-06-11,Toddshire
Salmonella,Ciprofloxacin,Medium,2021-02-03,Amyberg
Campylobacter,Ceftriaxone,Low,2020-07-24,Lake Justinville
E. coli,Nitrofurantoin,Low,2022-07-20,Perkinstown
Salmonella,Amoxicillin,High,2020-11-20,East Monica
Campylobacter,Ceftriaxone,Medium,2024-02-15,East Angelachester
E. coli,Doxycycline,Medium,2021-11-24,Yanghaven
Campylobacter,Erythromycin,Low,2021-01-17,Port Pamela
Salmonella,Azithromycin,Low,2024-10-21,Williamsside
Salmonella,Erythromycin,Low,2024-05-25,Matthewmouth
E. coli,Gentamicin,High,2024-02-08,North Kendraview
Campylobacter,Azithromycin,High,2022-04-10,Ryanbury
Salmonella,Ciprofloxacin,Low,2024-09-15,South Jessica
E. coli,Gentamicin,Low,2020-12-12,Port Joannafort
Campylobacter,Amoxicillin,High,2022-08-24,South Brianside
Campylobacter,Azithromycin,Low,2020-06-28,Danielmouth
Salmonella,Gentamicin,High,2023-09-07,New Nicoleport
E. coli,Nitrofurantoin,High,2021-06-11,East Kevin
Salmonella,Gentamicin,Low,2020-07-14,Kristyport
E. coli,Nitrofurantoin,Medium,2023-03-04,Kendrachester
Campylobacter,Azithromycin,High,2020-04-09,Angelabury
E. coli,Amoxicillin,Medium,2024-04-30,West Kennethside
E. coli,Ceftriaxone,High,2023-08-20,South Mariemouth
Salmonella,Ciprofloxacin,Medium,2022-07-18,Leechester
E. coli,Gentamicin,High,2024-01-03,North Michael
E. coli,Levofloxacin,Low,2020-08-04,West Nicholas
E. coli,Ciprofloxacin,High,2021-10-29,New Steven
E. coli,Levofloxacin,Medium,2023-05-08,North Mckenziemouth
E. coli,Erythromycin,High,2021-09-05,Adamsfurt
Campylobacter,Erythromycin,Low,2020-05-30,New Harry
E. coli,Norfloxacin,Low,2023-12-19,Tracyview
E. coli,Nitrofurantoin,High,2020-10-29,South Patrick
Campylobacter,Erythromycin,High,2022-01-16,New Joshuaville
Campylobacter,Doxycycline,Medium,2022-11-29,Tanyahaven
E. coli,Levofloxacin,Low,2022-11-23,North Robertfurt
Campylobacter,Ciprofloxacin,High,2021-06-09,Lauraside
E. coli,Gentamicin,Medium,2023-01-30,Ryanside
Campylobacter,Erythromycin,Low,2021-02-18,Kirbyport
Campylobacter,Ceftriaxone,Medium,2021-03-05,North Williambury
Salmonella,Norfloxacin,Low,2020-11-07,Burgessville
E. coli,Ceftriaxone,High,2024-10-21,Tiffanyshire
Salmonella,Azithromycin,Low,2024-08-28,Wardland
Salmonella,Norfloxacin,Medium,2022-05-16,Thomasbury
E. coli,Levofloxacin,Low,2021-02-18,New Erin
Salmonella,Ceftriaxone,High,2024-07-15,Lake Chadland
Salmonella,Nitrofurantoin,High,2020-07-25,West David
Salmonella,Nitrofurantoin,Medium,2021-04-09,Beckerbury
E. coli,Gentamicin,High,2023-03-01,Port Anthonychester
E. coli,Doxycycline,Low,2023-10-24,South James
Campylobacter,Trimethoprim,High,2024-07-24,Lake Dana
Salmonella,Ciprofloxacin,Low,2021-04-10,Wagnerbury
Salmonella,Nitrofurantoin,Low,2020-01-27,West Tammy
E. coli,Levofloxacin,Medium,2021-06-07,Lake Kennethmouth
E. coli,Erythromycin,Low,2023-03-29,Port Angelafurt
Campylobacter,Amoxicillin,Low,2024-04-18,Brandonfort
Campylobacter,Azithromycin,High,2021-06-06,Jamiemouth
E. coli,Nitrofurantoin,Low,2023-08-15,East Eugeneton
Campylobacter,Nitrofurantoin,High,2020-03-26,Hullmouth
E. coli,Trimethoprim,Medium,2022-08-22,Amyburgh
Salmonella,Gentamicin,Medium,2022-04-24,Lake Davidton
Campylobacter,Trimethoprim,Medium,2023-02-07,Thomasshire
Campylobacter,Nitrofurantoin,High,2023-08-17,Deannatown
Campylobacter,Amoxicillin,Medium,2020-05-10,West Kimmouth
Salmonella,Azithromycin,Low,2024-04-06,East Terryland
Salmonella,Erythromycin,Low,2022-12-27,South Jennifer
Salmonella,Trimethoprim,Low,2022-12-12,Princeberg
Salmonella,Levofloxacin,High,2024-08-26,Matthewside
Salmonella,Trimethoprim,Low,2021-02-15,Lake George
Salmonella,Norfloxacin,High,2020-11-05,Lake Valerie
E. coli,Ciprofloxacin,Low,2024-05-11,New Timothy
E. coli,Nitrofurantoin,Low,2021-06-10,Shermanmouth
E. coli,Levofloxacin,High,2023-05-05,West Lisafurt
E. coli,Azithromycin,High,2020-02-25,North Susanhaven
Salmonella,Azithromycin,Medium,2023-04-20,North Rachel
E. coli,Azithromycin,Low,2022-05-19,North Kimberly
Campylobacter,Trimethoprim,Medium,2020-07-06,Shannonfort
Salmonella,Doxycycline,Medium,2020-08-10,Smithstad
Campylobacter,Norfloxacin,Low,2024-09-01,Matthewborough
Salmonella,Erythromycin,High,2020-08-24,West Michelleside
Campylobacter,Amoxicillin,High,2024-04-15,Kevinville
Salmonella,Gentamicin,Medium,2024-07-09,East Aprilburgh
E. coli,Erythromycin,Low,2021-11-03,North Nicholas
Salmonella,Norfloxacin,High,2021-10-02,Montgomeryshire
Salmonella,Erythromycin,Medium,2022-10-01,West James
Salmonella,Levofloxacin,High,2023-04-19,North Stephaniebury
Campylobacter,Ciprofloxacin,High,2024-09-06,Hunterbury
E. coli,Trimethoprim,High,2023-02-28,Carolynport
Salmonella,Gentamicin,High,2021-06-11,Daniellehaven
Campylobacter,Amoxicillin,High,2020-05-06,Melissashire
E. coli,Ceftriaxone,Low,2020-02-19,Lake Wendy
Campylobacter,Trimethoprim,High,2020-08-26,North Mary
Salmonella,Amoxicillin,High,2022-10-16,Sandovalmouth
E. coli,Norfloxacin,Medium,2020-07-28,Randallmouth
Campylobacter,Ceftriaxone,Low,2022-07-10,New Ashleyfurt
E. coli,Nitrofurantoin,High,2022-11-12,Lambertport
Salmonella,Doxycycline,Low,2021-12-14,Jaredland
E. coli,Levofloxacin,High,2020-03-26,Lucaston
Salmonella,Norfloxacin,Low,2023-12-10,Smithville
Campylobacter,Gentamicin,Low,2022-12-08,Bullockview
Campylobacter,Ceftriaxone,High,2020-02-16,East Crystalstad
Salmonella,Ceftriaxone,Low,2021-03-12,South Patricia
Campylobacter,Erythromycin,High,2024-11-05,Jenniferburgh
E. coli,Chloramphenicol,Medium,2020-12-18,Hughesshire
Campylobacter,Ciprofloxacin,Low,2020-03-14,Port Loriborough
Salmonella,Ceftriaxone,High,2021-02-12,Robinsonborough
Campylobacter,Chloramphenicol,Low,2023-04-19,Nicholestad
Campylobacter,Chloramphenicol,Medium,2022-02-14,West Edwardfurt
Campylobacter,Ciprofloxacin,Low,2020-05-20,Lisashire
E. coli,Ciprofloxacin,Medium,2024-05-29,Smithport
Salmonella,Ciprofloxacin,Medium,2021-07-04,South Kevin
Salmonella,Amoxicillin,Low,2024-05-25,Melanieport
Salmonella,Norfloxacin,High,2023-10-25,Julieview
E. coli,Azithromycin,High,2024-03-08,Adamsland
E. coli,Chloramphenicol,Medium,2024-08-17,North Michael
E. coli,Trimethoprim,Low,2021-01-15,Smithland
E. coli,Amoxicillin,Medium,2022-06-24,Walterborough
Campylobacter,Trimethoprim,High,2022-09-19,Javierhaven
Campylobacter,Chloramphenicol,Low,2021-04-14,Emilyfort
Salmonella,Doxycycline,Medium,2020-08-04,Port Lori
Salmonella,Ciprofloxacin,High,2020-11-28,Suarezborough
E. coli,Ciprofloxacin,Low,2023-03-18,Phillipsstad
E. coli,Levofloxacin,Medium,2021-06-19,Jamietown
Campylobacter,Nitrofurantoin,Low,2021-06-04,Calebstad
Campylobacter,Gentamicin,Low,2021-07-18,Port Zachary
Campylobacter,Amoxicillin,Low,2022-03-16,New Dianatown
Campylobacter,Azithromycin,Medium,2021-05-07,West Mario
Salmonella,Norfloxacin,Medium,2023-03-20,Jenniferland
E. coli,Amoxicillin,Medium,2024-10-18,Wilkersonland
Salmonella,Ceftriaxone,Low,2020-09-28,Stewartside
E. coli,Norfloxacin,Low,2021-12-23,South Kathleen
E. coli,Norfloxacin,Low,2023-12-23,North Taraton
Salmonella,Trimethoprim,High,2021-02-25,Brettburgh
E. coli,Erythromycin,High,2022-05-08,Garciastad
Salmonella,Chloramphenicol,Medium,2021-11-20,Jonesstad
Salmonella,Erythromycin,Low,2021-06-04,Nguyenstad
Campylobacter,Norfloxacin,Medium,2022-11-19,West Johnview
Campylobacter,Ceftriaxone,Medium,2022-11-15,Lake Richardchester
Salmonella,Doxycycline,High,2024-04-19,Christinaberg
E. coli,Erythromycin,Medium,2024-09-13,North Sandra
E. coli,Amoxicillin,High,2023-10-16,Rodriguezchester
Salmonella,Erythromycin,Low,2020-12-30,Port Huntertown
Campylobacter,Nitrofurantoin,Medium,2021-03-15,Debraport
E. coli,Azithromycin,High,2020-07-16,Manuelview
Salmonella,Norfloxacin,Low,2022-04-16,Kyleberg
Campylobacter,Amoxicillin,Low,2020-05-29,Gayhaven
Campylobacter,Trimethoprim,Low,2021-09-04,South Gregorychester
E. coli,Erythromycin,Medium,2020-03-08,East Rachelborough
E. coli,Ceftriaxone,Low,2021-09-02,Port Jamesfurt
Salmonella,Ciprofloxacin,Low,2020-01-25,Parsonsport
Campylobacter,Gentamicin,Low,2020-06-05,Tylertown
Campylobacter,Nitrofurantoin,Medium,2021-03-31,Stephenshaven
Campylobacter,Ciprofloxacin,High,2022-03-14,Lake Paulashire
E. coli,Nitrofurantoin,Low,2021-07-11,North David
E. coli,Amoxicillin,High,2023-06-28,East Morganside
Salmonella,Norfloxacin,High,2024-09-08,Scottview
E. coli,Trimethoprim,High,2024-09-22,New Jennifer
Campylobacter,Levofloxacin,High,2021-08-21,Maryton
Campylobacter,Chloramphenicol,Low,2023-09-19,North Elizabethton
Salmonella,Amoxicillin,High,2020-08-26,Sarahside
Salmonella,Azithromycin,Low,2022-09-03,Raystad
Salmonella,Chloramphenicol,Medium,2021-05-18,Danielhaven
Salmonella,Erythromycin,Medium,2022-02-28,Port Christopherville
Salmonella,Norfloxacin,Medium,2022-12-14,Turnermouth
Campylobacter,Gentamicin,High,2023-05-14,Joneston
Campylobacter,Norfloxacin,Low,2020-07-29,North Meganbury
Salmonella,Doxycycline,High,2021-09-13,Port Jennifershire
E. coli,Gentamicin,High,2022-11-14,Pattersonchester
Salmonella,Ceftriaxone,Low,2020-09-21,Portertown
Salmonella,Doxycycline,Medium,2024-09-26,Danieltown
Salmonella,Doxycycline,Low,2020-07-22,Maysland
Salmonella,Norfloxacin,Low,2023-11-19,East April
Campylobacter,Azithromycin,Low,2022-04-11,Reginachester
E. coli,Doxycycline,Medium,2021-12-22,South Brandiview
E. coli,Amoxicillin,Low,2020-12-17,Jeffreymouth
Salmonella,Amoxicillin,High,2020-12-26,Jackhaven
Campylobacter,Doxycycline,Medium,2020-04-07,Lake Amy
E. coli,Trimethoprim,High,2020-12-10,Mooreview
E. coli,Gentamicin,Low,2021-12-10,Moraleschester
Salmonella,Gentamicin,High,2024-07-17,Bakerborough
Campylobacter,Doxycycline,High,2021-07-01,Rossview
Salmonella,Ceftriaxone,High,2021-07-13,Coopermouth
Campylobacter,Trimethoprim,Low,2023-10-25,West Sandra
E. coli,Gentamicin,High,2020-02-20,South Thomasport
Salmonella,Chloramphenicol,High,2023-08-15,Port Carolport
Campylobacter,Chloramphenicol,High,2022-10-29,East Kevinbury
Salmonella,Doxycycline,Low,2022-06-21,Ashleyton
Campylobacter,Gentamicin,Low,2024-02-23,New Angelport
Campylobacter,Doxycycline,Low,2020-11-01,New Randallton
Campylobacter,Trimethoprim,Medium,2021-06-04,Lake Michelle
E. coli,Erythromycin,Medium,2021-12-29,New Noahport
E. coli,Levofloxacin,High,2021-11-25,Guerreromouth
E. coli,Nitrofurantoin,Medium,2024-04-19,East Rhondaville
E. coli,Gentamicin,Medium,2022-01-09,Adkinsfurt
Campylobacter,Gentamicin,High,2024-01-01,Christopherhaven
Salmonella,Azithromycin,Low,2024-06-26,Port Kayla
Campylobacter,Ciprofloxacin,Low,2024-05-22,Justinside
Salmonella,Trimethoprim,High,2021-12-23,Taylorfurt
Salmonella,Doxycycline,High,2022-02-14,New Lucas
Salmonella,Gentamicin,High,2021-01-15,Gallagherview
Campylobacter,Azithromycin,High,2023-11-06,Bennettmouth
Campylobacter,Amoxicillin,Medium,2020-02-25,New Scott
E. coli,Gentamicin,High,2023-12-17,West Phillipchester
Salmonella,Azithromycin,Medium,2022-09-08,Charleschester
Campylobacter,Azithromycin,Low,2023-07-06,Gillmouth
Salmonella,Erythromycin,High,2020-02-26,Bruceview
E. coli,Amoxicillin,Medium,2024-09-10,East Ashley
Salmonella,Erythromycin,Low,2022-01-03,Lake Amy
E. coli,Ciprofloxacin,Low,2024-03-15,West Lesliefurt
Salmonella,Ceftriaxone,High,2022-07-22,Fergusonton
E. coli,Trimethoprim,High,2021-11-01,New Debra
Campylobacter,Doxycycline,Low,2024-11-09,Port Nicholas
Salmonella,Ciprofloxacin,Low,2020-08-24,Lisabury
Salmonella,Doxycycline,Medium,2023-11-12,Port Kaitlinshire
Campylobacter,Amoxicillin,Low,2023-12-18,Port Austin
Campylobacter,Erythromycin,Medium,2021-02-25,Gutierrezmouth
Salmonella,Chloramphenicol,Medium,2021-05-25,Huffmanhaven
Campylobacter,Nitrofurantoin,Low,2023-08-14,South Brent
Campylobacter,Trimethoprim,Low,2024-02-25,Port Kristen
Salmonella,Levofloxacin,High,2023-06-30,West Madisonport
Salmonella,Nitrofurantoin,Low,2020-03-15,Mejiamouth
Campylobacter,Gentamicin,Medium,2023-09-21,Hernandezburgh
Campylobacter,Norfloxacin,High,2021-03-29,Ericside
Salmonella,Amoxicillin,Medium,2021-07-01,Port Madeline
Salmonella,Doxycycline,Low,2022-06-24,Phamview
Salmonella,Erythromycin,High,2021-04-22,Port Scotthaven
E. coli,Doxycycline,Medium,2022-11-09,Kathrynborough
E. coli,Ceftriaxone,Low,2024-07-17,New Cheyennebury
Campylobacter,Chloramphenicol,Low,2022-09-12,East Johntown
Campylobacter,Nitrofurantoin,Low,2023-08-26,Julieborough
Campylobacter,Amoxicillin,Medium,2023-12-10,Avilamouth
Salmonella,Trimethoprim,Medium,2021-12-22,Annaton
E. coli,Levofloxacin,Medium,2021-06-15,Henryfort
E. coli,Trimethoprim,High,2021-06-29,Robinbury
E. coli,Levofloxacin,Medium,2020-07-21,Hallmouth
Salmonella,Azithromycin,Low,2022-05-16,Medinamouth
Campylobacter,Trimethoprim,Medium,2024-07-28,New Amanda
Campylobacter,Gentamicin,Low,2022-01-11,Port Rebeccafurt
Campylobacter,Ceftriaxone,High,2021-05-08,Seantown
Salmonella,Doxycycline,Medium,2020-06-25,New Michelle
Campylobacter,Chloramphenicol,Low,2024-07-08,Lake Susan
Campylobacter,Erythromycin,Medium,2021-11-16,Williamton
E. coli,Ciprofloxacin,Medium,2020-09-04,Masonhaven
Campylobacter,Azithromycin,Low,2021-07-17,Douglasmouth
Campylobacter,Doxycycline,Medium,2020-08-09,East Jillmouth
E. coli,Nitrofurantoin,Low,2022-11-18,Andersonview
E. coli,Norfloxacin,Medium,2022-07-04,Gloverview
E. coli,Chloramphenicol,High,2024-10-26,Carrieport
E. coli,Chloramphenicol,Low,2020-07-04,Lindamouth
Salmonella,Gentamicin,Medium,2024-09-15,Riverastad
E. coli,Ciprofloxacin,Low,2021-05-20,Matthewstad
Campylobacter,Doxycycline,Low,2023-12-18,West Alexismouth
Salmonella,Norfloxacin,Low,2023-10-27,Colemanmouth
Campylobacter,Ciprofloxacin,High,2023-03-01,Riosfurt
Campylobacter,Chloramphenicol,Low,2021-11-19,Port Amberburgh
Campylobacter,Azithromycin,High,2022-07-11,New Vanessaport
Campylobacter,Chloramphenicol,High,2024-01-13,Cunninghamburgh
E. coli,Gentamicin,Low,2024-08-18,Andersonchester
Salmonella,Trimethoprim,High,2020-07-02,Scottberg
E. coli,Levofloxacin,Low,2023-03-21,North Kristenfort
Salmonella,Erythromycin,Medium,2021-07-16,Hullville
Campylobacter,Amoxicillin,Low,2020-04-20,East Matthew
Salmonella,Levofloxacin,Low,2023-01-23,North Frank
Salmonella,Erythromycin,Medium,2022-01-14,Carterville
Campylobacter,Gentamicin,Low,2023-02-08,South David
E. coli,Gentamicin,High,2024-03-01,Harrisonburgh
Salmonella,Norfloxacin,Low,2021-01-29,Jeffburgh
Campylobacter,Norfloxacin,Medium,2023-05-10,Chapmanville
Salmonella,Chloramphenicol,High,2023-04-14,Danielshire
Salmonella,Erythromycin,Low,2020-03-22,Schneiderchester
Campylobacter,Ceftriaxone,High,2021-03-04,Millerville
Salmonella,Trimethoprim,Medium,2022-04-11,Whiteberg
E. coli,Ciprofloxacin,High,2022-03-29,East Jackside
E. coli,Levofloxacin,High,2022-07-11,South Maryport
E. coli,Levofloxacin,Low,2021-12-16,West Sierra
E. coli,Azithromycin,High,2020-08-02,Sullivanfurt
E. coli,Azithromycin,High,2022-04-02,Susanville
Campylobacter,Levofloxacin,High,2023-04-23,Shortland
E. coli,Gentamicin,High,2021-09-12,West John
E. coli,Norfloxacin,Medium,2020-06-01,West Anita
E. coli,Gentamicin,Medium,2023-01-18,Lake Jessicaport
Campylobacter,Levofloxacin,Medium,2021-03-25,Brownborough
E. coli,Nitrofurantoin,High,2023-06-13,Kempborough
Campylobacter,Azithromycin,Low,2020-01-15,Walkerfurt
Salmonella,Trimethoprim,High,2022-03-12,Corytown
E. coli,Norfloxacin,Low,2023-07-06,Jeanetteborough
Salmonella,Erythromycin,Low,2021-07-24,North Debra
Campylobacter,Erythromycin,Low,2023-01-26,New Charlesville
Salmonella,Chloramphenicol,High,2024-03-05,Watsonfurt
E. coli,Gentamicin,Medium,2022-07-07,Port Emily
E. coli,Nitrofurantoin,Low,2024-08-15,Joshualand
